序号,电影名称,豆瓣评分,豆瓣评论数
188,小偷家族,8.7,835414
189,无敌破坏王,8.7,561192
190,荒蛮故事,8.8,457116
191,冰川时代,8.6,635979
192,爆裂鼓手,8.7,609753
193,恐怖游轮,8.5,897959
194,牯岭街少年杀人事件,8.9,316190
195,东京教父,9,246178
196,贫民窟的百万富翁,8.6,762796
197,魔女宅急便,8.7,475217
198,东邪西毒,8.6,592320
199,大佛普拉斯,8.7,482041
200,遗愿清单,8.7,481852
201,你看起来好像很好吃,8.9,343926
202,可可西里,8.9,313580
203,城市之光,9.3,153574
204,黑天鹅,8.6,798743
205,源代码,8.5,858217
206,真爱至上,8.5,756849
207,海边的曼彻斯特,8.6,571480
208,末路狂花,8.9,276932
209,波西米亚狂想曲,8.6,627667
210,雨人,8.7,414383
211,青蛇,8.6,544123
212,初恋这件小事,8.5,998923
213,人工智能,8.7,460863
214,恋恋笔记本,8.5,692522
215,爱乐之城,8.4,977022
216,虎口脱险,8.9,267370
217,终结者2：审判日,8.8,352235
218,疯狂的麦克斯4：狂暴之路,8.7,548271
219,芙蓉镇,9.3,151923
220,罗生门,8.8,325889
221,新龙门客栈,8.7,460078
222,无耻混蛋,8.7,497058
223,崖上的波妞,8.6,517533
224,千钧一发,8.8,312827
225,花束般的恋爱,8.6,672695
226,彗星来的那一夜,8.6,606990
227,萤火虫之墓,8.7,413142
228,哈利·波特与死亡圣器(上),8.5,604870
229,奇迹男孩,8.6,564778
230,黑客帝国2：重装上阵,8.7,418891
231,二十二,8.7,298201
232,火星救援,8.5,758560
233,血钻,8.7,391826
234,战争之王,8.7,380782
235,白日梦想家,8.6,524508
236,高山下的花环,9.5,101995
237,步履不停,8.8,289825
238,房间,8.8,376591
239,魂断蓝桥,8.8,287339
240,千年女优,8.8,281494
241,谍影重重2,8.7,364764
242,哈利·波特与凤凰社,8.5,600009
243,蜘蛛侠：平行宇宙,8.6,693021
244,大红灯笼高高挂,8.8,296676
245,弱点,8.7,323087
246,谍影重重,8.6,442886
247,阿飞正传,8.5,527686
248,朗读者,8.6,463179
249,再次出发之纽约遇见你,8.6,439259
250,燃情岁月,8.7,295358
